"DOSSIER,N,31,15","NOM,C,42","NOMCOURT,C,20","CRéaTION,C,10","DOM_PUBLIC,C,10","TOTALE,N,31,15","CATÉGORIE,C,9","VILLE,C,3","XCOORD,N,31,15","YCOORD,N,31,15","ADRESSE,C,59","TRAML1,C,47","BUS,C,36","ACCESSIBIL,C,3","HANDICAPés,C,3","QUARTIER,C,17","LIBPROPRI,C,22"
310,Parc du château de Grammont,Parc Grammont,01/01/1850,19780101,21902,Parc,S11,"3,929567","43,615381",Ave Albert Einstein,1 - Odysseum - 1485 m,9 - Grammont - 168 m,Oui,Oui,Port Marianne,Ville de Montpellier
315,Jardin Hôtel de Sully,Hôtel Sully,01/01/1890,19900101,2200,Square,L10,"3,880707","43,613287",Descente En Barrat,1 et 2 - Corum - 176 m,14 - Ernest Renan - 445 m,Oui,Non,Centre,Ville de Montpellier
334,Aire de jeux Vert-bois,Jeux Vert-bois,19850101,19850101,4720,Square,j16,"3,868067","43,638901",Rue Ali Ben Checal,1 - Université des sciences et lettres - 1200 m,13 - Lavalette - 167 m,Oui,Non,Hôpitaux-Facultés,Ville de Montpellier
375,Square rue des Loutres,Sq Loutres,19900101,19900101,126,Square,K12,"3,876857","43,624003",rue des Loutres,2 - Aiguelongue - 512 m,10 - Tourterelles - 237 m,Oui,Non,Centre,Ville de Montpellier
406,Square de Diane,Sq de Diane,19900101,19900101,1490,Square,i7,"3,860248","43,599892",rue des chasseurs,2 - Mas Drevon - 790 m,7 - Gouara - 395 m,Oui,Non,Croix d'Argent,Ville de Montpellier
435,Square rue des Castors,Sq Castors,19900101,19900101,1065,Square,K12,"3,876339","43,623366",rue des Castors,2 - Aiguelongue - 580 m,5 - Sainte-Odile - 280 m,Oui,Non,Centre,Ville de Montpellier
439,Esplanade de l'Europe,Esplanade Europe,19901001,19901001,17170,Parc,N9,"3,895145","43,607246",Esplanade de l'Europe,1 et 2 - Place de l'Europe - 105 m,9 - Place de l'Europe - 99 m,Oui,Oui,Centre,Ville de Montpellier
457,Square Charles Flahaut,Sq Flahaut,01/01/1850,19910607,766,Square,K11,"3,878625","43,617099",Rue Ferdinand Fabre,1 - Louis Blanc - 270 m,5 - Marie Caizergues - 479 m,Oui,Oui,Centre,Ville de Montpellier
458,Square Docteur Fourcade,Sq Dr Fourcade,19931215,19931215,4108,Square,N5,"3,894632","43,589113",Avenue Dr Jacques Fourcade/ Métairie de Saysset,3 - Garcia Lorca - 376 m,16 - Garcia Lorca - 364 m,Oui,Non,Près d'Arènes,Ville de Montpellier
460,Parc Chico Mendes,Parc Mendez,19910701,19910701,1870,Parc,C14,"3,82306","43,631986",Rue de l'Agenais,1 - Saint-Paul - 252 m,15 - Gémeaux - 59 m,Oui,Non,La Mosson,Ville de Montpellier
461,Parc Jacques Roseau,Parc J Roseau,19930901,19930901,33670,Square,E7,"3,834862","43,596968",CD 5 route de Laverune,3 - Jules Guesde - 1873 m,10 - Les Bouisses - 203 m,Oui,Non,Les Cévennes,Ville de Montpellier
462,Square Louis Carles (ZAC la Fontaine),Sq Carles,19920301,19920301,270,Square,D10,"3,827612","43,613442",Rue des Ecoles,3 - Celleneuve - 302 m,15 - Renaudel - 140 m,Oui,Non,La Mosson,Ville de Montpellier
476,Espace des Pertuisanes,Chiens Echelles,19890101,19890101,881,Square,M9,"3,886152","43,607739",Ave Henri Frenay,1 - Antigone - 124 m,14 - Léon Blum - 379 m,Oui,Non,Centre,Ville de Montpellier
512,Square du cadran solaire,Sq cadran solaire,19890101,19890101,1730,Square,O12,"3,900834","43,619787",rue Louise Michel,2 - Pompignane - 952 m,9 - André Malraux - 22 m,Non,Non,Port Marianne,Ville de Montpellier
525,Bassin de rétention Colombière,Bassin Colombière,19950101,19981001,20710,Berges,H13,"3,853679","43,626001",Avenue du père Soulas,1 - Hôpital Lapeyronie - 580 m,7 - Gardioles - 197 m,Non,Non,Hôpitaux-Facultés,Ville de Montpellier
527,Parc Georges Charpak (ex Marianne),Parc Charpak,19970101,20000601,68680,Parc,O8,"3,903623","43,600904",Ave de la mer,3 - Pablo Picasso - 281 m,10 - Millénaire - 464 m,Oui,Non,Port Marianne,Ville de Montpellier
529,Jardin archéologique des potiers,Jardin archéologique,19930601,19930601,2604,Square,L10,"3,881236","43,613881",rue du faubourg de Nîmes,1 et 2 - Corum - 99 m,14 - Ernest Renan - 371 m,Oui,Oui,Centre,Ville de Montpellier
