"VOI_NUM,N,9,2","ACV_NUM,N,9,2","X,N,13,5","Y,N,14,5","ACC_TBAN,C,3","ACC_TACC,C,3","DATE_,C,12","RIVOLI,C,10","ID_PP,N,10,0"
2585,1781,769100,6278000,NON,NON,"""18-10-2010""",2585,323
260,666,769300,6279000,OUI,OUI,"""18-10-2010""",260,324
1859,677,769300,6279000,NON,NON,"""18-10-2010""",1859,325
1889,681,769400,6279000,OUI,OUI,"""18-10-2010""",1889,326
1202,4687,770000,6279000,NON,OUI,"""18-10-2010""",1202,327
542,4832,769800,6279000,OUI,NON,"""18-10-2010""",542,328
1634,4679,769900,6279000,NON,NON,"""18-10-2010""",1634,329
929,4643,769900,6279000,NON,NON,"""18-10-2010""",929,330
520,45656,770100,6279000,NON,OUI,"""18-10-2010""",520,331
417,751,770000,6279000,OUI,OUI,"""18-10-2010""",417,332
624,743,770000,6279000,NON,NON,"""18-10-2010""",624,333
1123,1123,770600,6279000,NON,NON,"""18-10-2010""",1123,334
1143,5670,770500,6279000,OUI,OUI,"""18-10-2010""",1143,335
1626,5612,770300,6278000,OUI,NON,"""18-10-2010""",1626,336
1064,5632,770200,6278000,OUI,OUI,"""18-10-2010""",1064,337
789,4869,769800,6279000,NON,NON,"""18-10-2010""",789,338
789,4873,770000,6278000,NON,NON,"""18-10-2010""",789,339
1899,4855,769500,6279000,NON,NON,"""18-10-2010""",1899,340
1873,728,769700,6279000,NON,NON,"""18-10-2010""",1873,341
769,726,769700,6279000,NON,NON,"""18-10-2010""",769,342
1390,4810,769700,6279000,TVX,TVX,"""18-10-2010""",1390,343
1380,13852,769600,6279000,NON,OUI,"""18-10-2010""",1380,344
2122,0,769900,6280000,NON,NON,"""18-10-2010""",2122,345
1231,4749,770100,6280000,OUI,OUI,"""18-10-2010""",1231,346
1263,4743,770200,6280000,NON,NON,"""18-10-2010""",1263,347
1105,4557,769800,6280000,OUI,OUI,"""18-10-2010""",1105,348
511,4560,769800,6280000,NON,NON,"""18-10-2010""",511,349
1787,4567,769900,6280000,NON,NON,"""18-10-2010""",1787,350
847,5505,771300,6279000,NON,NON,"""18-10-2010""",847,351
469,5543,771200,6278000,NON,NON,"""18-10-2010""",469,352
1463,3860,771400,6278000,NON,NON,"""18-10-2010""",1463,353
1446,6273,771500,6278000,OUI,OUI,"""18-10-2010""",1446,354
1446,1364,771900,6277000,NON,OUI,"""18-10-2010""",1446,355
621,1391,771800,6277000,NON,NON,"""18-10-2010""",621,356
2239,13652,771200,6277000,NON,OUI,"""18-10-2010""",2239,357
48,2272,768100,6280000,NON,OUI,"""18-10-2010""",48,358
930,4250,769000,6280000,OUI,OUI,"""18-10-2010""",930,359
1070,4531,768900,6280000,OUI,OUI,"""18-10-2010""",1070,360
495,12973,769200,6280000,NON,NON,"""18-10-2010""",495,361
533,186,769200,6280000,NON,NON,"""18-10-2010""",533,362
2112,6267,769300,6280000,NON,NON,"""18-10-2010""",2112,363
1399,1667,770100,6278000,NON,OUI,"""18-10-2010""",1399,364
940,1597,770300,6278000,OUI,OUI,"""18-10-2010""",940,365
2190,15512,769300,6277000,OUI,OUI,"""18-10-2010""",2190,366
2189,12792,770900,6276000,NON,OUI,"""18-10-2010""",2189,367
