N° Election;Election;Code Commune;Commune;N° Bureau;Bureau;Circonscritpion;Canton;Inscrits;Votants;Nuls;Blancs;Exprimés;Procurations;N° Candidat;Candidat;Nombre de Voix
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;24;Liste CAMUS Renaud                                ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;25;Liste GROS Martine                                ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;1;Liste HONDEMA-MOKRANE Faïrouz                     ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;2;Liste TORREMOCHA Sandra                           ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;3;Liste TELLECHEA Jean                              ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;4;Liste COUROSSE Gaël                               ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;5;Liste ALIOT Louis                                 ;35
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;6;Liste ROCHEFORT Robert                            ;36
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;7;Liste MARTY Philippe                              ;5
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;8;Liste PRADALIER Nicole                            ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;9;Liste MELENCHON Jean-Luc                          ;50
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;10;Liste HUSSET Marie Jeanne                         ;5
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;11;Liste MAHUET Eric                                 ;5
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;12;Liste POUTOU Philippe                             ;3
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;13;Liste ROZIÈRE Virginie                            ;91
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;14;Liste BOVÉ José                                   ;114
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;15;Liste ALLIOT-MARIE Michèle                        ;44
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;16;Liste BOUSSION Joseph                             ;25
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;17;Liste LENNE Francis                               ;3
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;18;Liste NÈGRE Anne                                  ;5
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;19;Liste CHAMAGNE Régis                              ;6
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;20;Liste GHAZOUANE Sami                              ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;6;Ecole élémentaire Lamartine;2;01;1180;449;5;6;438;13;21;Liste MARTINEZ Jean-Claude                        ;2
