"OBJECTID,N,10,0","IDENT,C,254","NOM,C,254","VLEGALE,N,19,8","REF,C,254","DDEBUT,D","DFIN,D","SENS,C,254","PHJM,N,19,8","PHJS,N,19,8","TJM,N,19,8","COMMENTAIR,C,254","MOIS,N,19,8","ANNEE,N,19,8","TYPECOMPTA,C,50","IDENTSIG,N,19,10"
1841,838TR4818,Rue des Coronilles,50,212_008_02,11/09/09,17/09/09,Clementville-Genevriers,45,55,340,#N/A,9,2009,Pneumatique,4818
942,838TR4818,Rue des Coronilles,30,203_001_02,13/01/06,19/01/06,Genevriers-Clementville,40,21,165,#N/A,1,2006,Pneumatique,4818
941,838TR4818,Rue des Coronilles,30,203_001_01,13/01/06,19/01/06,Clementville-Genevriers,31,32,214,#N/A,1,2006,Pneumatique,4818
18,838TR4818,Rue des Coronilles,50,CORO.001,31/05/96,06/06/96,Genevriers-Clémentville,77,73,609,#N/A,5,1996,Pneumatique,4818
308,832TR5562,Rue des Coquelicots,50,COQU.001,03/03/99,09/03/99,Fabreges-Leclerc,37,28,197,#N/A,3,1999,Pneumatique,5562
2350,753TR6736,Rue des Chasseurs,50,204_006_01,18/03/11,24/03/11,Lavérune-Toulouse,639,444,4100,#N/A,3,2011,Pneumatique,6736
2351,753TR4882,Rue des Chasseurs,50,227_002_01,18/03/11,24/03/11,Toulouse-Lavérune,407,485,3837,#N/A,3,2011,Pneumatique,4882
1611,753TR6735,Rue des Chasseurs,50,209_013_02,05/12/08,11/12/08,Lavérune-Toulouse,541,421,3628,Rapport Lissé,12,2008,Pneumatique,6735
1610,753TR6735,Rue des Chasseurs,50,209_013_01,05/12/08,11/12/08,Toulouse-Lavérune,341,456,3438,Rapport Lissé,12,2008,Pneumatique,6735
738,753TR6735,Rue des Chasseurs,50,864_007_01,29/06/04,05/07/04,Toulouse-Lavérune,296,464,3720,#N/A,6,2004,Pneumatique,6735
1559,720TR2322,Rue des Cerisiers,50,221_006_01,10/10/08,16/10/08,Grenade-Piboules,8,6,25,#N/A,10,2008,Pneumatique,2322
1560,720TR2322,Rue des Cerisiers,50,221_006_02,10/10/08,16/10/08,Piboules-Grenade,4,5,18,#N/A,10,2008,Pneumatique,2322
2168,704TR78,Rue des Castors,50,223_009_01,20/11/10,26/11/10,Boutonnet-Ecureuil,6,7,21,#N/A,11,2010,Pneumatique,78
2169,704TR78,Rue des Castors,50,223_009_02,20/11/10,26/11/10,Ecureuil-Boutonnet,5,6,18,#N/A,11,2010,Pneumatique,78
2011,681TR1860,Rue des Capriers,50,1561_002_01,31/03/10,06/04/10,Lavérune-Figuerolles,69,59,388,#N/A,3,2010,Magnétique,1860
2012,681TR1860,Rue des Capriers,50,1567_002_02,31/03/10,06/04/10,Figuerolles-Lavérune,29,21,96,#N/A,3,2010,Pneumatique,1860
3145,659TR1701,Rue des Cambiadours,50,2343_007_01,27/05/13,02/06/13,Cardeurs_St Cleophas,41,34,156,#N/A,5,2013,Magnétique,1701
1832,641TR2988,Rue des Brusses,50,211_008_02,12/09/09,18/09/09,Parguel-Loup,373,610,3928,#N/A,9,2009,Pneumatique,2988
1831,641TR2988,Rue des Brusses,50,211_008_01,12/09/09,18/09/09,Loup-Parguel,474,369,3895,#N/A,9,2009,Pneumatique,2988
634,641TR2983,Rue des Brusses,50,227_005_01,30/09/03,06/10/03,Parguel-Loup,464,682,5182,#N/A,9,2003,Pneumatique,2983
86,641TR2983,Rue des Brusses,50,BRUS.001,03/12/96,09/12/96,Parguel-Pic,362,493,3989,#N/A,12,1996,Pneumatique,2983
87,641TR2983,Rue des Brusses,50,BRUS.011,03/12/96,09/12/96,Pic-Parguel,319,356,3431,#N/A,12,1996,Pneumatique,2983
2968,617TR1980,Rue des Bouisses,50,2065_003_01,30/01/13,05/02/13,Vestales_Bacchantes,302,318,2214,,1,2013,Magnétique,1980
2969,617TR1980,Rue des Bouisses,50,2082_003_02,30/01/13,05/02/13,Bacchantes_Vestales,165,263,1647,,1,2013,Magnétique,1980
2115,617TR2210,Rue des Bouisses,50,217_009_02,15/09/10,21/09/10,Yersin-Teste,178,173,1365,#N/A,9,2010,Pneumatique,2210
2114,617TR2210,Rue des Bouisses,50,217_009_01,15/09/10,21/09/10,Teste-Yersin,96,154,1016,#N/A,9,2010,Pneumatique,2210
1690,617TR2034,Rue des Bouisses,50,208_002_01,27/02/09,05/03/09,Fajon-Yersin,337,462,3405,#N/A,2,2009,Pneumatique,2034
1691,617TR2034,Rue des Bouisses,50,208_002_02,27/02/09,05/03/09,Yersin-Fajon,324,337,2380,#N/A,2,2009,Pneumatique,2034
1692,617TR1980,Rue des Bouisses,50,202_002_01,27/02/09,05/03/09,Fajon-Yersin,254,243,1971,#N/A,2,2009,Pneumatique,1980
1693,617TR1980,Rue des Bouisses,50,202_002_02,27/02/09,05/03/09,Yersin-Fajon,148,223,1493,#N/A,2,2009,Pneumatique,1980
